Classe |  Parametres du traitement
----------------------------------
0      | 64 64 20 20 15 15 11 11 8 8 8 6 6 6 6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 6 6 6 8 8 4 4 2 2 2 2 2 2 2 2 2 2 2 2 4 4 6 6 8 8 8 11 11 13 13 64 64 64 64 64 
0      | 64 64 47 39 39 33 33 30 30 28 24 24 23 23 21 21 19 17 17 16 16 16 16 16 16 16 16 16 17 17 12 12 10 9 9 7 7 5 5 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 5 5 10 10 64 64 
0      | 64 26 26 20 18 18 14 14 12 12 12 12 10 10 8 8 8 8 6 6 6 6 6 6 6 6 6 6 4 4 4 4 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 4 4 6 6 10 10 64 64 64 
0      | 64 64 64 34 34 24 24 24 21 21 16 16 16 13 13 13 10 10 10 10 10 8 8 8 5 5 5 5 5 5 5 5 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 3 3 3 5 5 5 8 8 16 16 16 64 64 64 64 64 64 
0      | 64 64 38 38 25 25 21 21 17 17 12 12 10 10 8 8 8 6 6 6 6 4 4 4 4 4 4 2 2 4 4 4 6 6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 6 6 6 6 8 8 10 10 14 14 14 64 64 
0      | 64 64 32 32 25 25 20 20 15 15 15 13 13 13 13 11 11 11 11 11 8 8 8 8 8 8 8 8 8 8 8 8 6 6 6 6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 6 6 11 11 11 64 64 
0      | 64 64 64 64 64 64 64 64 64 48 48 40 40 36 36 32 32 29 29 27 27 25 25 21 21 19 19 17 17 11 11 11 7 7 5 5 3 3 3 3 0 0 0 0 0 0 3 3 3 3 7 7 15 15 64 64 64 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 64 64 64 64 32 32 32 25 25 25 12 12 12 12 9 9 9 6 6 6 6 6 6 3 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 9 9 9 64 64 64 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 64 64 64 64 28 28 28 19 19 19 15 15 15 15 9 9 9 6 6 6 3 3 3 3 3 3 3 0 0 0 3 3 3 15 15 15 12 12 12 15 15 15 15 19 19 19 64 64 64 64 64 64 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 64 64 64 64 64 64 64 44 44 32 32 32 27 27 22 22 22 19 19 14 14 14 9 9 7 7 7 4 4 2 2 2 2 2 2 2 2 2 2 4 4 4 9 9 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 64 21 21 21 21 17 17 17 13 13 13 13 10 10 10 10 10 10 10 6 6 6 6 3 3 3 3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 3 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 64 64 64 64 64 64 47 47 47 38 38 38 23 23 23 20 20 20 20 20 20 17 17 17 14 14 14 11 11 11 8 8 8 5 5 5 2 2 2 2 2 2 2 2 2 5 5 5 64 64 64 64 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 64 64 42 42 34 34 27 27 23 23 19 19 15 15 13 13 9 9 7 7 5 5 7 7 5 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 5 5 7 7 13 13 64 64 64 64 64 64 64 64 64 64 
0      | 64 64 64 48 48 48 38 38 38 32 32 32 28 28 28 22 22 22 22 19 19 19 12 12 12 9 9 9 6 6 6 6 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 9 9 9 9 64 64 64 
0      | 64 64 64 64 64 35 35 35 29 29 29 23 23 23 17 17 17 14 14 14 11 11 11 8 8 8 8 8 8 5 5 5 5 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 5 5 8 8 8 64 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 64 64 64 64 23 23 18 18 18 7 7 5 5 5 5 3 3 3 3 3 3 3 0 0 0 0 0 0 0 3 3 3 3 5 5 5 5 5 7 7 11 11 14 14 20 20 20 64 64 64 64 64 64 64 64 64 64 64 64 
0      | 64 64 39 39 9 9 9 7 7 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 7 7 7 7 7 7 7 9 9 9 9 9 12 12 12 14 14 22 22 22 64 64 
0      | 64 64 29 29 19 19 19 9 9 7 7 7 4 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 4 2 2 2 4 4 4 4 4 7 7 7 7 7 9 9 12 12 12 17 17 64 64 64 64 64 
0      | 24 24 24 18 18 16 16 16 13 13 10 10 10 10 10 10 8 8 8 8 8 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 8 8 8 10 10 13 13 13 21 21 21 64 64 64 
0      | 64 64 64 64 20 20 15 15 11 11 11 8 8 6 6 4 4 4 4 4 2 2 2 2 2 2 2 2 2 2 2 2 4 4 4 4 6 6 11 11 11 15 15 15 15 18 18 18 20 20 25 25 27 27 27 36 36 64 64 64 64 64 64 64 
0      | 64 64 64 36 36 27 27 23 23 18 18 7 7 7 5 5 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 3 3 5 5 7 7 7 7 7 9 9 14 14 20 20 64 64 64 64 64 64 
0      | 64 64 32 32 27 27 27 24 24 19 19 19 17 17 14 14 14 12 12 12 12 12 12 12 4 4 4 4 4 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 9 9 9 9 9 9 9 9 12 12 17 17 17 19 19 29 29 29 64 64 
0      | 64 64 38 38 38 29 29 29 23 23 23 20 20 20 17 17 17 8 8 8 5 5 5 5 5 5 5 5 5 5 5 5 8 8 8 8 8 8 8 8 8 8 8 8 11 11 11 11 11 11 14 14 14 14 14 14 17 17 17 23 23 23 64 64 
0      | 64 64 35 35 35 25 25 25 22 22 22 22 18 18 18 18 18 18 15 15 15 15 15 15 15 8 8 8 5 5 5 5 5 5 5 5 5 5 8 8 8 8 8 8 8 8 8 8 12 12 12 12 15 15 15 18 18 18 25 25 25 25 64 64 
0      | 64 64 24 24 24 20 20 20 20 17 17 17 17 13 13 13 13 9 9 9 9 9 9 9 5 5 5 5 5 5 5 5 2 2 2 5 5 5 5 5 5 5 5 5 5 5 5 13 13 13 17 17 17 17 20 20 20 20 28 28 28 28 64 64 
0      | 64 64 32 32 32 20 20 20 20 13 13 13 13 9 9 9 9 5 5 5 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 20 20 20 20 24 24 24 28 28 28 28 32 32 32 32 35 35 35 35 64 64 
0      | 64 64 29 29 26 26 26 21 21 21 18 18 18 18 18 15 15 15 15 15 15 15 15 15 15 15 12 12 12 12 12 12 4 4 4 4 4 7 7 7 10 10 10 10 10 10 10 10 12 12 12 23 23 26 26 26 29 29 29 34 34 34 64 64 
0      | 64 64 64 64 64 64 64 64 64 64 29 29 19 19 19 15 15 12 12 10 10 10 7 7 5 5 5 3 3 3 3 3 3 3 0 0 3 3 3 0 0 3 3 3 3 3 5 5 7 7 7 12 12 64 64 64 64 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 64 64 64 64 25 25 25 12 12 12 6 6 6 6 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 6 6 6 6 9 9 9 15 15 15 64 64 64 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 64 64 64 64 64 32 32 21 21 21 15 15 15 12 12 12 10 10 7 7 7 4 4 4 2 2 2 2 2 2 2 2 2 2 2 4 4 10 10 10 18 18 18 26 26 26 64 64 64 64 64 64 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 64 64 64 64 64 64 64 64 64 18 18 14 14 9 9 7 7 7 5 5 5 5 3 3 0 0 0 0 0 0 0 0 0 0 0 3 3 3 5 5 5 5 9 9 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 29 29 12 12 12 7 7 5 5 5 3 3 53 53 7 7 7 5 5 5 5 5 3 3 3 3 3 3 3 0 0 3 3 3 3 3 3 3 3 5 5 5 5 7 7 7 10 10 15 15 15 64 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 64 64 27 27 22 22 22 17 17 14 14 14 9 9 9 9 9 7 7 7 7 7 4 4 4 4 4 2 2 2 2 2 2 2 2 2 2 4 4 4 4 4 7 7 7 7 7 12 12 64 64 64 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 64 64 64 26 26 16 16 16 8 8 8 5 5 3 3 3 8 8 8 5 5 3 3 3 3 3 3 0 0 0 0 0 3 3 3 3 3 5 5 5 5 5 10 10 10 13 13 13 21 21 64 64 64 64 64 64 64 64 64 
0      | 64 64 64 16 16 10 10 10 8 8 8 8 8 5 5 5 5 5 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 3 3 3 3 3 5 5 5 8 8 8 10 10 16 16 16 64 64 64 64 64 64 
0      | 64 64 64 64 19 19 19 14 14 14 14 14 9 9 9 9 9 7 7 7 7 7 4 4 4 4 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 4 4 4 4 7 7 7 7 7 9 9 14 14 14 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 64 64 64 38 38 38 25 25 20 20 18 18 18 15 15 13 13 11 11 11 8 8 6 6 6 6 6 4 4 4 4 2 2 6 6 6 4 4 2 2 4 4 4 4 4 8 8 18 18 18 64 64 64 64 64 64 64 64 64 
0      | 64 64 29 29 23 23 23 18 18 18 12 12 10 10 10 7 7 7 4 4 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 4 4 7 7 7 10 10 15 15 15 29 29 29 64 64 64 64 64 
0      | 64 64 64 64 64 26 26 26 20 20 20 17 17 17 11 11 11 8 8 8 5 5 5 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 8 8 8 11 11 11 17 17 17 26 26 26 64 64 64 64 64 64 
0      | 64 64 64 26 26 18 18 18 16 16 10 10 10 10 10 10 5 5 5 5 5 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 8 8 8 8 8 8 8 8 10 10 10 10 10 13 13 13 16 16 18 18 18 64 64 64 64 64 64 
0      | 64 64 32 32 32 25 25 25 18 18 18 18 18 18 18 15 15 15 12 12 12 12 12 12 12 8 8 8 2 2 2 2 2 2 2 2 2 2 5 5 5 5 8 8 8 8 8 8 12 12 12 12 18 18 18 22 22 22 28 28 28 28 64 64 
0      | 64 64 64 64 32 32 32 23 23 23 21 21 18 18 18 15 15 15 15 15 15 12 12 12 12 12 4 4 4 2 2 2 2 2 2 2 2 4 4 4 4 4 7 7 7 7 7 7 10 10 10 12 12 18 18 18 23 23 23 64 64 64 64 64 
0      | 64 64 64 28 28 28 17 17 17 17 13 13 13 6 6 6 6 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 3 3 3 3 3 3 3 3 6 6 6 13 13 13 13 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 35 35 35 35 24 24 24 24 20 20 20 20 13 13 13 5 5 5 5 5 5 5 5 2 2 2 2 2 2 2 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 9 9 9 9 13 13 13 13 64 64 64 64 64 64 
0      | 64 64 64 64 64 64 64 40 40 40 32 32 26 26 26 21 21 21 18 18 18 12 12 10 10 10 7 7 7 4 4 4 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 7 7 7 7 7 10 10 10 64 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 40 40 40 32 32 32 26 26 26 20 20 20 17 17 17 11 11 11 8 8 8 8 8 8 5 5 5 3 3 3 3 3 0 0 0 0 0 0 0 0 0 3 3 3 5 5 5 8 8 8 14 14 14 64 64 64 64 64 64 
0      | 32 32 32 27 27 27 27 23 23 23 23 19 19 19 19 15 15 15 15 11 11 11 11 11 11 11 11 7 7 7 7 7 7 7 7 7 7 7 7 7 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 23 23 23 23 23 64 64 64 
0      | 64 64 64 64 64 64 42 42 42 42 32 32 32 28 28 28 28 21 21 21 21 17 17 17 13 13 13 13 6 6 6 6 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 17 17 24 24 24 24 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 64 17 17 17 17 10 10 10 6 6 6 6 3 3 3 3 0 0 0 0 0 0 0 3 3 3 3 6 6 6 13 13 13 13 17 17 17 24 24 24 24 28 28 28 28 39 39 39 64 64 64 64 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 64 64 64 64 24 24 24 24 17 17 17 17 13 13 13 9 9 9 9 5 5 5 5 2 2 2 2 2 2 2 5 5 5 5 9 9 9 9 9 9 9 9 13 13 13 24 24 24 24 64 64 64 64 64 64 64 64 64 64 
0      | 64 64 23 23 23 23 14 14 14 14 10 10 10 10 6 6 6 6 6 6 6 6 6 6 6 6 6 2 2 2 2 2 2 2 2 2 6 6 6 6 6 6 6 6 10 10 10 10 10 14 14 14 14 23 23 23 23 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 64 64 64 64 24 24 24 24 17 17 17 17 9 9 9 5 5 5 5 2 2 2 2 2 2 2 2 5 5 5 5 5 5 5 9 9 9 9 17 17 17 17 28 28 28 64 64 64 64 64 64 64 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 64 23 23 23 23 14 14 14 14 10 10 10 10 10 6 6 6 6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 6 6 6 6 6 10 10 10 10 64 64 64 64 64 64 64 64 64 64 64 
0      | 64 64 64 23 23 23 23 15 15 15 15 7 7 7 7 3 3 3 3 3 3 3 3 0 0 0 0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 11 11 11 11 15 15 15 15 23 23 23 23 23 64 64 64 
0      | 35 35 35 28 28 28 21 21 21 21 17 17 17 10 10 10 10 6 6 6 6 6 6 6 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 10 10 10 10 17 17 17 17 64 64 64 
0      | 29 29 29 23 23 17 17 17 14 14 14 11 11 11 8 8 8 3 3 3 3 3 3 3 3 3 5 5 5 52 52 52 55 55 52 52 52 5 5 5 8 8 8 8 8 8 8 8 8 11 11 11 11 11 11 14 14 14 20 20 20 64 64 64 
0      | 34 34 34 29 29 24 24 24 21 21 16 16 16 13 13 13 10 10 8 8 8 8 8 8 8 8 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 3 3 5 5 5 13 13 13 64 64 64 
0      | 64 64 32 32 32 26 26 26 20 20 20 17 17 17 14 14 14 11 11 11 11 11 11 11 11 11 8 8 8 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 8 8 8 8 8 8 8 8 8 11 11 11 17 17 17 64 64 
0      | 64 64 35 35 35 29 29 29 23 23 23 20 20 20 17 17 17 14 14 14 11 11 11 8 8 8 8 8 8 8 8 8 5 5 5 5 5 5 2 2 2 2 2 2 2 2 2 2 2 2 5 5 5 5 5 5 11 11 11 17 17 17 64 64 
0      | 29 29 29 27 27 24 24 22 22 22 19 19 17 17 17 17 17 15 15 15 15 15 15 15 15 15 15 19 19 46 46 46 12 12 10 10 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 10 10 10 12 12 17 17 17 64 64 64 
0      | 27 27 27 22 22 19 19 17 17 17 15 15 15 15 15 15 15 12 12 12 12 12 10 10 10 10 10 7 7 7 7 7 7 7 7 7 7 7 7 7 7 5 5 5 7 7 7 7 7 7 7 10 10 12 12 12 15 15 24 24 24 64 64 64 
0      | 64 64 64 28 28 28 22 22 22 15 15 15 12 12 12 9 9 9 9 6 6 6 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 3 3 3 6 6 6 6 64 64 64 
0      | 64 64 64 32 32 23 23 23 20 20 20 14 14 14 11 11 11 11 11 11 11 11 11 8 8 8 5 5 5 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 3 3 3 11 11 11 64 64 64 64 64 64 
